Selection_Order,ID,user_input,reference,Primary_Category,Secondary_Category,Complexity,Answerable,Question_Rationale,Source_Document,Source_Page
1,EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",Factual,,Low,Yes,Concrete fact stated in the incident-response report.,GAO-24-105658,PDF p. 2
2,EQ006,By about what percentage did cyber incidents affecting federal agencies grow from fiscal year 2006 to 2015?,"They grew by about 1,300 percent.",Factual,,Low,Yes,Specific reported percentage.,GAO-16-885T,PDF p. 2
3,EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,GAO identified four major cybersecurity challenges.,Factual,,Medium,Yes,Requires locating the enumerated finding.,GAO-24-107231,PDF p. 2
4,EQ013,How much did Treasury borrow for government operations in fiscal year 2025?,Treasury borrowed $1.9 trillion for government operations.,Factual,,Medium,Yes,Specific borrowing amount.,GAO-26-107529,PDF p. 2
5,EQ015,What percentage of Main Street Program loans had been fully repaid as of January 2026?,"Seventy percent, or 1,277 of 1,830 loans, had been fully repaid.",Factual,,High,Yes,"Combines the percentage, loan count, and date.",GAO-26-108011,PDF p. 1
6,EQ016,What does operational technology mean in the cybersecurity reports?,Operational technology consists of systems and devices that control physical distribution or production processes.,Definition,,Low,Yes,Definition is directly provided with examples.,GAO-24-106576,PDF p. 2
7,EQ022,What does supply chain risk management mean in the CrowdStrike outage context?,"It concerns managing risks introduced through products, software, and other suppliers that support an organization's systems.",Definition,,Low,Yes,Concept is explained through the CrowdStrike and SolarWinds examples.,GAO-24-107733,PDF p. 1
8,EQ025,What does GAO mean by a comprehensive cybersecurity strategy?,"It is a strategy and implementation approach that addresses desirable characteristics, including measurable outcomes and resources and costs.",Definition,,Medium,Yes,Requires connecting the strategy and implementation-plan criteria.,GAO-24-106916,PDF p. 2
9,EQ026,What is the policy expectation for using CISA's playbook in incident response?,Agencies are to use CISA's playbook to plan and conduct cybersecurity vulnerability and incident-response activities.,Policy,,Low,Yes,Rule directly stated in the report.,GAO-24-105658,PDF p. 2
10,EQ032,What policy issue did GAO identify for sharing cyber threat information with critical infrastructure?,Federal agencies and critical-infrastructure owners and operators need information sharing that is effective and timely; voluntary sharing and actionable-information gaps remain barriers.,Policy,,Medium,Yes,Combines the expectation with identified barriers.,GAO-24-107733,PDF p. 2
11,EQ037,What policy issue did GAO identify with the Navy's hypersonic modernization strategy?,The Navy and Army lacked a comprehensive strategy to guide investment decisions for the capability.,Policy,,Medium,Yes,Policy/strategy finding from contents and report highlights.,GAO-26-107974,PDF p. 3
12,EQ040,What policy response follows when a national strategy lacks outcome measures and resource estimates?,The strategy should add applicable outcome-oriented measures and estimated resources and costs so implementation can be assessed and managed.,Policy,,High,Yes,Cross-report policy synthesis.,GAO-24-106916; GAO-24-107231,PDF pp. 2-3
13,EQ041,How should a K-12 organization prepare for a cyber incident according to the supplied reports?,"Use the applicable federal roles and guidance, coordinate with relevant federal support, and prepare for recovery because incidents can disrupt learning and operations.",Procedural,Policy,Low,Yes,Short procedural question based on report guidance.,GAO-23-105480,PDF p. 2
14,EQ044,What steps should an agency take to strengthen a risk-based information-security program?,Identify threats; securely configure assets; patch vulnerable systems or replace unsupported software; and comprehensively test and evaluate security controls.,Procedural,Policy,Medium,Yes,Ordered actions drawn from the report.,GAO-16-885T,PDF p. 2
15,EQ048,"How should an agency structure incident-response readiness around people, tools, and outside support?","Combine response tools such as EDR, services such as threat hunting and intelligence, and resources including skilled staff and funding.",Procedural,,Medium,Yes,Requires combining the three support types.,GAO-24-105658,PDF p. 2
16,EQ053,How should federal leaders close gaps in a national cybersecurity strategy?,"Add outcome measures and resource/cost estimates, then strengthen oversight of supply-chain, workforce, and emerging-technology risks.",Procedural,Policy,High,Yes,Cross-document procedure requiring synthesis.,GAO-24-106916; GAO-24-107231,PDF pp. 2-3
17,EQ056,How does operational technology differ from ordinary information technology in the supplied cybersecurity material?,OT interacts with the physical environment and controls processes; the reports describe IT systems more broadly as supporting information processing and operations.,Comparison,,Low,Yes,Comparison grounded in both reports' descriptions.,GAO-24-106576; GAO-24-107231,"PDF pp. 2, 4"
18,EQ058,"Compare the incident-response support roles of tools, services, and resources.",Tools include EDR; services include threat hunting and intelligence; resources include skilled staff and funding.,Comparison,,Medium,Yes,Comparison of the report's three support categories.,GAO-24-105658,PDF p. 2
19,EQ066,Compare CISA's positive OT service experiences with the limitations reported by users.,"Most selected entities reported positive experiences, but some reported negative experiences and vulnerability disclosures that could take more than a year; agencies also cited coordination barriers.",Comparison,,High,Yes,Requires weighing benefits and multiple limitations.,GAO-24-106576,PDF pp. 2-3
20,EQ070,Compare the Navy's DDG 1000 modernization schedule challenge with its missile-production challenge.,"Modernization was 24 months behind, while CPS production faced quality and production issues and was below the goal of 12 rounds per year; both also affected testing plans.",Comparison,,High,Yes,Compares distinct but interacting capability constraints.,GAO-26-107974,PDF p. 2
21,EQ071,Summarize the main incident-response preparedness finding for federal agencies.,"Agencies made progress by standardizing plans and improving detection, analysis, and handling, but still needed to fully implement requirements, including event logging.",Summary,,Low,Yes,Concise summary of a coherent finding.,GAO-24-105658,PDF p. 2
22,EQ074,Summarize the cybersecurity lessons of the CrowdStrike outage.,"A faulty update caused widespread outages and highlighted the importance of supply-chain risk management, testing, contingency planning, and cyber information sharing.",Summary,,Medium,Yes,Summary of causal event and lessons.,GAO-24-107733,PDF pp. 1-2
23,EQ079,Summarize the Navy's hypersonic modernization findings.,"The Navy is behind on DDG 1000 modernization, faces unique sustainment, testing, funding, quality, and production challenges, and lacks a comprehensive Navy-Army investment strategy.",Summary,,High,Yes,Synthesis of interdependent program findings.,GAO-26-107974,PDF pp. 2-3
24,EQ081,How do CISA's incident-response playbook and the CrowdStrike findings work together to guide disruption preparedness?,"Use CISA's playbook for planning and response, and strengthen supply-chain risk management, testing, contingency planning, and information sharing to improve resilience.",Multi-document,Procedural,Medium,Yes,Requires evidence from two documents and synthesis.,GAO-24-105658; GAO-24-107733,PDF pp. 2; 1-2
25,EQ083,How should national leaders connect strategy measurement with cybersecurity oversight?,"They should use outcome-oriented measures and resource/cost estimates in the strategy, then oversee supply-chain, workforce, and emerging-technology risks.",Multi-document,Policy,High,Yes,Requires synthesis across strategy assessment and high-risk oversight.,GAO-24-106916; GAO-24-107231,PDF pp. 2; 2-3
