ID,user_input,Candidate_Optimal_K,query_char_count,query_word_count,query_unique_word_count,query_avg_word_length,query_sentence_count,question_mark_indicator,number_indicator,uppercase_token_count,starts_what,starts_why,starts_how,starts_when,starts_where,starts_who,starts_which,entity_count,question_count,intent,comparison,procedural,policy,summary,definition,multi_hop,evidence_breadth
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,1,92,14,14,5.571428571428571,1,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,1,96,13,13,6.384615384615385,1,1,0,1,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ003,When was CISA's incident-response playbook issued?,4,50,6,6,7.333333333333333,1,1,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0
EQ004,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,9,107,16,16,5.6875,1,1,0,2,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,1,0
EQ005,How many desirable strategy characteristics were fully addressed by the National Cybersecurity Strategy and implementation plan?,9,128,16,15,7.0,1,1,0,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,1,0
EQ006,By about what percentage did cyber incidents affecting federal agencies grow from fiscal year 2006 to 2015?,5,107,17,17,5.294117647058823,1,1,1,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
EQ007,How many recommendations did GAO make to address NIH security deficiencies?,1,75,11,11,5.818181818181818,1,1,0,2,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ008,How long did officials say K-12 learning loss after a cyberattack could last?,1,77,13,13,4.923076923076923,1,1,1,1,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,2,78,12,12,5.5,1,1,1,1,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ010,How many actions are described as essential within GAO's four cybersecurity challenges?,4,87,12,12,6.25,1,1,0,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,2,76,13,13,4.846153846153846,1,1,1,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
EQ012,How many Treasury auctions were held in fiscal year 2025?,2,57,10,10,4.7,1,1,1,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ013,How much did Treasury borrow for government operations in fiscal year 2025?,1,75,12,12,5.25,1,1,1,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ014,How far behind schedule was the Navy's modernization of the three Zumwalt-class destroyers?,8,91,13,12,6.0,1,1,0,0,0,0,1,0,0,0,0,0,1,,0,1,0,0,0,0,0
EQ015,What percentage of Main Street Program loans had been fully repaid as of January 2026?,9,86,15,14,4.733333333333333,1,1,1,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
EQ016,What does operational technology mean in the cybersecurity reports?,8,67,9,9,6.444444444444445,1,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
EQ017,What is endpoint detection and response in the context of the incident-response report?,3,87,13,12,5.6923076923076925,1,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,1,1,0
EQ018,What does cyber resiliency mean in the CrowdStrike outage snapshot?,8,67,10,10,5.7,1,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0
EQ019,What is meant by an outcome-oriented performance measure in the national strategy discussion?,8,93,13,13,6.153846153846154,1,1,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,1,0,0
