ID,Question,Reference_Answer,Expected_Source_Document,Expected_Source_Page,K,Expected_Sources,Retrieved_Sources,Document_Coverage,Page_Coverage,All_Documents_Found,All_Pages_Found,Retrieval_Time_Seconds
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,1,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}]",1.0,0.0,True,False,0.43093279999447986
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,2,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}]",1.0,0.0,True,False,0.09148070000810549
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,3,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}]",1.0,0.0,True,False,0.018620399991050363
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,4,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}]",1.0,0.0,True,False,0.02670439996290952
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,5,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}]",1.0,0.0,True,False,0.021233600040432066
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,6,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}]",1.0,0.0,True,False,0.013965000049211085
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,7,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}]",1.0,0.0,True,False,0.020619800023268908
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,8,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.6292538642883301}]",1.0,0.0,True,False,0.016230199951678514
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,9,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.6292538642883301}, {""rank"": 9, ""document"": ""gao-24-107231.pdf"", ""page"": 60, ""distance"": 0.6342428922653198}]",1.0,0.0,True,False,0.019550199969671667
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,10,"[{""evaluation_document"": ""GAO-24-105658"", ""indexed_document"": ""d24105658.pdf"", ""expected_pages"": [2]}]","[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.6292538642883301}, {""rank"": 9, ""document"": ""gao-24-107231.pdf"", ""page"": 60, ""distance"": 0.6342428922653198}, {""rank"": 10, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.6343860030174255}]",1.0,0.0,True,False,0.017947799991816282
