K,Quality_Score,Evidence_Coverage,Answer_Similarity,Total_Tokens,Total_Latency_Seconds,Quality_per_1000_Tokens,Quality_Improvement,Additional_Tokens_vs_Previous_K,Additional_Latency_vs_Previous_K,Quality_Gain_per_1000_Additional_Tokens
1,0.2861737050787472,0.3745243297779978,0.15364776802987123,617.3,8.222427222049962,0.46358934890449893,,,,
2,0.3858720896888771,0.5231647208701321,0.17993314291699455,1078.02,10.498438335239971,0.35794520480962977,0.09969838461012992,460.72,2.276011113190009,0.21639691050991908
3,0.4353831778845775,0.6012825025608542,0.18653419087016218,1528.62,12.231166393330065,0.2848210659840755,0.04951108819570038,450.5999999999999,1.7327280580900943,0.1098781362532188
4,0.4605556183430167,0.6404007427937971,0.19078793166684616,1983.96,13.455225155780024,0.2321395685109663,0.02517244045843925,455.34000000000015,1.2240587624499586,0.05528273478815664
5,0.4794552128310813,0.6691548424523084,0.19490576839924048,2428.43,16.15825571780998,0.19743423233574012,0.018899594488064553,444.4699999999998,2.703030562029955,0.04252164260369555
6,0.49721959339993504,0.6991676844285373,0.19429745685703181,2838.7,18.203058734029916,0.17515749934827035,0.017764380568853766,410.27,2.0448030162199373,0.04329924334914512
7,0.5101034828135511,0.7196882409124804,0.19572634566515723,3292.34,21.263970554370015,0.1549364533473308,0.012883889413616068,453.6400000000003,3.060911820340099,0.028401131764430074
8,0.5205055138383576,0.7372806025461367,0.19534288077668902,3758.3061224489797,24.21567002354079,0.1384947092865301,0.010402031024806524,465.9661224489796,2.951699469170773,0.022323577881878057
9,0.5348440472790823,0.7588646752931987,0.19881310525790774,4119.9111111111115,26.98898901983333,0.1298193171781414,0.014338533440724666,361.60498866213175,2.7733189962925415,0.039652476847110034
10,0.5548515386024807,0.7855658412849351,0.20878008457879912,4370.633802816901,28.915706946971703,0.1269499032943175,0.020007491323398408,250.72269170578966,1.9267179271383732,0.07979928417040202
