ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Candidate_Optimal_K,Best_K_Quality,Quality_Threshold,Candidate_Quality,Candidate_Evidence_Coverage,Candidate_Answer_Similarity,Candidate_Total_Tokens,Candidate_Latency,Maximum_Available_K,Maximum_K_Quality,Maximum_K_Tokens,Maximum_K_Latency,Estimated_Token_Savings,Estimated_Latency_Savings
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,1,0.813217782633445,0.793217782633445,0.8088115818588675,1.0,0.5220289546471686,483,11.271811249000166,10,0.8088115818588675,4457,22.887435273000392,0.8916311420237828,0.507510950241892
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,Factual,,Low,Yes,1,0.6718618010096953,0.6518618010096953,0.6550510174687826,0.8333333333333334,0.38762754367195645,835,2.9561331979998613,10,0.6718618010096953,4403,21.892810010000176,0.8103565750624574,0.8649724180381796
EQ003,When was CISA's incident-response playbook issued?,Factual,,Low,Yes,4,0.7592189452701198,0.7392189452701198,0.7592189452701198,1.0,0.3980473631752996,2260,6.32552479800006,9,0.735736525701974,4698,26.118839498000398,0.5189442315879098,0.7578175401520297
EQ004,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,Factual,,Low,Yes,9,0.8175305300420196,0.7975305300420196,0.8143708618560329,1.0,0.5359271546400822,4004,14.721990023000219,10,0.8175305300420196,4578,17.667916460000015,0.12538226299694188,0.16673875743466093
EQ005,How many desirable strategy characteristics were fully addressed by the National Cybersecurity Strategy and implementation plan?,Factual,,Low,Yes,9,0.7464722323010617,0.7264722323010617,0.7464722323010617,1.0,0.3661805807526544,3946,11.704761372999656,10,0.7464722323010617,4025,12.394166012999904,0.019627329192546616,0.05562331820286659
EQ006,By about what percentage did cyber incidents affecting federal agencies grow from fiscal year 2006 to 2015?,Factual,,Low,Yes,5,0.508989991253106,0.48898999125310594,0.508989991253106,0.75,0.14747497813276503,2466,7.911208672999692,10,0.4713281056997258,4979,18.840259179999975,0.5047198232576823,0.5800902419963576
EQ007,How many recommendations did GAO make to address NIH security deficiencies?,Factual,,Low,Yes,1,0.8021980981340187,0.7821980981340186,0.8021980981340187,1.0,0.5054952453350465,908,4.743541578000077,10,0.7482231660031382,3682,12.909188484999959,0.7533948940793047,0.6325453312954635
EQ008,How long did officials say K-12 learning loss after a cyberattack could last?,Factual,,Low,Yes,1,0.799157149374627,0.779157149374627,0.7906228955522517,1.0,0.4765572388806294,883,3.543604645999949,10,0.7906228955522517,4988,17.716620529000465,0.8229751403368084,0.7999841651403327
EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,Factual,,Medium,Yes,2,0.8133808589994119,0.7933808589994119,0.8133808589994119,1.0,0.5334521474985299,1048,3.158017166999798,8,0.7660066723785853,4133,21.645226449999882,0.7464311638035326,0.8541009873796069
EQ010,How many actions are described as essential within GAO's four cybersecurity challenges?,Factual,,Medium,Yes,4,0.7487120038873368,0.7287120038873368,0.736622351465807,1.0,0.34155587866451753,2449,7.690994113000215,10,0.7474341757945165,5086,23.444087799000496,0.5184821077467558,0.6719431278819852
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,Factual,,Medium,Yes,2,0.6686284622591443,0.6486284622591443,0.6577475564345454,1.0,0.14436889108636358,1238,4.13160134699956,7,0.6686284622591443,4641,15.974217027999659,0.733247145011851,0.7413581310584628
EQ012,How many Treasury auctions were held in fiscal year 2025?,Factual,,Medium,Yes,2,0.8879585236129537,0.8679585236129537,0.8879585236129537,1.0,0.7198963090323844,1316,4.167851876000441,10,0.7574139589624895,4188,20.736747922000177,0.6857688634192932,0.7990113063206669
EQ013,How much did Treasury borrow for government operations in fiscal year 2025?,Factual,,Medium,Yes,1,0.7362520843781726,0.7162520843781726,0.7362520843781726,0.8,0.6406302109454313,839,2.9574791550003283,9,0.6744323842569999,4796,16.47998564100044,0.8250625521267723,0.8205411570479505
EQ014,How far behind schedule was the Navy's modernization of the three Zumwalt-class destroyers?,Factual,,Medium,Yes,8,0.72478763909088,0.7047876390908799,0.72478763909088,1.0,0.3119690977272,4026,12.440852491999065,10,0.72478763909088,4685,15.485359574999165,0.1406616862326574,0.19660551427655593
EQ015,What percentage of Main Street Program loans had been fully repaid as of January 2026?,Factual,,High,Yes,9,0.6588149341714962,0.6388149341714962,0.6588149341714962,0.8888888888888888,0.3137040020954072,3405,10.425560769000185,10,0.5980993560303203,4089,13.562951826999779,0.16727806309611148,0.23132066662317463
