ID,Question,Reference_Answer,Expected_Source_Document,Expected_Source_Page,K,Evidence_Found,Retrieved_Sources,Retrieval_Time_Seconds
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,1,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}]",0.2979330000234768
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,2,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}]",0.025085599976591766
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,3,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}]",0.08519549999618903
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,4,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}]",0.01129270001547411
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,5,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}]",0.012933899997733533
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,6,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}]",0.01129569998010993
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,7,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}]",0.048521900025662035
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,8,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.6292538642883301}]",0.01318200002424419
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,9,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.6292538642883301}, {""rank"": 9, ""document"": ""gao-24-107231.pdf"", ""page"": 60, ""distance"": 0.6342428922653198}]",0.010905699979048222
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,10,False,"[{""rank"": 1, ""document"": ""d24105658.pdf"", ""page"": 17, ""distance"": 0.5487039685249329}, {""rank"": 2, ""document"": ""d24105658.pdf"", ""page"": 8, ""distance"": 0.5511332750320435}, {""rank"": 3, ""document"": ""gao-24-107231.pdf"", ""page"": 45, ""distance"": 0.5619978308677673}, {""rank"": 4, ""document"": ""d24105658.pdf"", ""page"": 22, ""distance"": 0.591919481754303}, {""rank"": 5, ""document"": ""d24105658.pdf"", ""page"": 3, ""distance"": 0.5973328351974487}, {""rank"": 6, ""document"": ""d24105658.pdf"", ""page"": 18, ""distance"": 0.6114742755889893}, {""rank"": 7, ""document"": ""d24105658.pdf"", ""page"": 20, ""distance"": 0.6142799854278564}, {""rank"": 8, ""document"": ""d24105658.pdf"", ""page"": 9, ""distance"": 0.6292538642883301}, {""rank"": 9, ""document"": ""gao-24-107231.pdf"", ""page"": 60, ""distance"": 0.6342428922653198}, {""rank"": 10, ""document"": ""d24105658.pdf"", ""page"": 45, ""distance"": 0.6343860030174255}]",0.010644200025126338
