ID,available_k,best_k,quality_range,non_decreasing,candidate_k
EQ001,10,2,0.021896143651970124,False,1
EQ002,10,9,0.07355313080284787,False,1
EQ003,9,4,0.4485651038196072,False,4
EQ004,10,10,0.3961563914943388,True,9
EQ005,10,9,0.28157307423315436,True,9
EQ006,10,5,0.508989991253106,False,5
EQ007,10,1,0.11259935004592003,False,1
EQ008,10,3,0.04715123782959085,False,1
EQ009,8,2,0.22400162161431292,False,2
EQ010,10,7,0.3075208223762696,False,4
EQ011,7,4,0.4150817248953006,False,2
EQ012,10,2,0.6059970893590759,False,2
EQ013,9,1,0.06181970012117266,False,1
EQ014,10,8,0.06186329388801004,False,8
EQ015,10,9,0.44586740965425364,False,9
EQ016,10,10,0.36674341561448776,False,8
EQ017,10,8,0.155544966200022,False,3
EQ018,10,8,0.1427351410198497,False,8
EQ019,10,9,0.14465312537156166,False,8
EQ020,10,7,0.032866039986712114,False,7
EQ021,10,4,0.4210548991362217,False,4
EQ022,9,6,0.15866376093514495,False,3
EQ023,10,10,0.4330584278743796,False,8
EQ024,10,1,0.0,True,1
EQ025,10,10,0.14993614212546208,False,8
EQ026,10,9,0.32618429304604357,False,9
EQ027,10,10,0.25574541389983474,False,10
EQ028,10,9,0.24,False,9
EQ029,9,3,0.07901379300048927,False,3
EQ030,10,6,0.10012373456128121,False,2
EQ031,10,2,0.24686392258667042,False,2
EQ032,10,7,0.28951053901879975,False,6
EQ033,10,10,0.3165760548363898,False,10
EQ034,10,10,0.21430909699095657,False,7
EQ035,9,2,0.46227508326366373,False,2
EQ036,8,4,0.0846280777066562,False,2
EQ037,10,10,0.4008349287489711,False,4
EQ038,10,10,0.3671837904690676,False,10
EQ039,10,10,0.3502968075523754,False,3
EQ040,10,3,0.224662194295993,False,3
EQ041,10,9,0.32057211182346196,False,9
EQ042,10,9,0.2629171601183273,False,3
EQ043,10,10,0.395712775687258,True,7
EQ044,9,8,0.3394332051798141,False,8
EQ045,8,7,0.2556022814041997,False,5
EQ046,10,3,0.4265089595684351,False,3
EQ047,10,10,0.3846515914242705,False,6
EQ048,10,9,0.5868190427063991,False,9
EQ049,10,6,0.2719623188057601,False,4
EQ050,8,8,0.23479582276646932,False,6
EQ051,10,5,0.4908770973370875,False,4
EQ052,9,9,0.126351590967056,False,9
EQ053,10,10,0.28652574288908306,False,10
EQ054,10,10,0.36529322019061516,False,8
EQ055,9,8,0.22198430357799662,False,7
EQ056,10,9,0.4063174091407188,False,9
EQ057,10,9,0.013319348119024799,False,1
EQ058,10,10,0.16363429081772762,False,8
EQ059,10,9,0.22055869929219346,False,9
EQ060,10,10,0.4363054222902221,False,9
EQ061,9,5,0.03534837805405111,False,3
EQ062,10,9,0.2898837836548415,False,9
EQ063,8,4,0.5199839923051355,False,4
EQ064,10,9,0.40479551464186425,False,9
EQ065,10,8,0.04551873557835451,False,8
EQ066,9,9,0.4398764789013312,True,8
EQ067,10,6,0.26948495777366954,False,6
EQ068,7,7,0.24893110575188326,False,5
EQ069,8,8,0.432086031375948,False,3
EQ070,10,8,0.3166249704781933,False,2
EQ071,10,8,0.2605918331475137,False,8
EQ072,10,10,0.2595570590678681,False,10
EQ073,10,10,0.2553026235438396,False,10
EQ074,10,1,0.04488786207925155,False,1
EQ075,10,8,0.4076155410154241,False,7
EQ076,10,10,0.2743393400274386,False,10
EQ077,9,8,0.10295035803725311,False,7
EQ078,10,10,0.4097986312827044,False,9
EQ079,10,9,0.42999418587249927,False,6
EQ080,8,8,0.21629658809121663,False,8
EQ081,10,9,0.13349024094177453,False,9
EQ082,10,10,0.19147713184183773,False,10
EQ083,10,8,0.326049248392525,False,6
EQ084,9,7,0.2735622063969305,False,7
EQ085,9,8,0.35015467830783464,False,6
EQ086,9,9,0.309983368925915,False,9
EQ087,10,8,0.34490762422626664,False,5
EQ088,10,10,0.32029427755051365,False,10
EQ089,10,9,0.325054206350576,False,7
EQ090,9,6,0.28349237530313814,True,6
EQ091,10,5,0.23204809958012118,False,2
EQ092,9,7,0.23810620968999,False,7
EQ093,10,10,0.2491940635069539,False,10
EQ094,10,3,0.1213599846068549,True,3
EQ095,9,7,0.24020918833882704,False,7
EQ096,9,8,0.24,False,8
EQ097,10,9,0.010221874232266698,True,1
EQ098,8,2,0.24,True,2
EQ099,10,10,0.24090706117933589,False,3
EQ100,9,7,0.2536461955711915,False,7
