ID,Question,Reference_Answer,Source_Document,Source_Page,K_evidence
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,1.0
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,1.0
EQ003,When was CISA's incident-response playbook issued?,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,1.0
EQ004,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,Twelve of 13 selected nonfederal entities cited positive experiences.,GAO-24-106576,PDF p. 2,1.0
EQ005,How many desirable strategy characteristics were fully addressed by the National Cybersecurity Strategy and implementation plan?,They fully addressed four of six desirable characteristics.,GAO-24-106916,PDF p. 2,1.0
EQ006,By about what percentage did cyber incidents affecting federal agencies grow from fiscal year 2006 to 2015?,"They grew by about 1,300 percent.",GAO-16-885T,PDF p. 2,1.0
EQ007,How many recommendations did GAO make to address NIH security deficiencies?,GAO made 219 recommendations: 66 for the security program and 153 for system controls.,GAO-22-104467,PDF p. 1,1.0
EQ008,How long did officials say K-12 learning loss after a cyberattack could last?,Reported loss of learning ranged from 3 days to 3 weeks.,GAO-23-105480,PDF p. 2,1.0
EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,GAO identified four major cybersecurity challenges.,GAO-24-107231,PDF p. 2,1.0
EQ010,How many actions are described as essential within GAO's four cybersecurity challenges?,There are 10 essential actions within the four challenges.,GAO-24-107231,PDF p. 2,1.0
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,GAO reported over $67.5 billion in financial benefits.,GAO-25-108440,PDF p. 2,7.0
EQ012,How many Treasury auctions were held in fiscal year 2025?,"Treasury held 444 auctions of bills, notes, and bonds.",GAO-26-107529,PDF p. 2,1.0
EQ013,How much did Treasury borrow for government operations in fiscal year 2025?,Treasury borrowed $1.9 trillion for government operations.,GAO-26-107529,PDF p. 2,1.0
EQ014,How far behind schedule was the Navy's modernization of the three Zumwalt-class destroyers?,The effort was 24 months behind schedule.,GAO-26-107974,PDF p. 2,1.0
EQ015,What percentage of Main Street Program loans had been fully repaid as of January 2026?,"Seventy percent, or 1,277 of 1,830 loans, had been fully repaid.",GAO-26-108011,PDF p. 1,1.0
EQ016,What does operational technology mean in the cybersecurity reports?,Operational technology consists of systems and devices that control physical distribution or production processes.,GAO-24-106576,PDF p. 2,1.0
EQ017,What is endpoint detection and response in the context of the incident-response report?,It is a tool category that agencies use to support cybersecurity incident response.,GAO-24-105658,PDF p. 2,1.0
EQ018,What does cyber resiliency mean in the CrowdStrike outage snapshot?,"It is the ability to detect, mitigate, and recover from a service disruption while preserving access to vital information.",GAO-24-107733,PDF p. 2,1.0
EQ019,What is meant by an outcome-oriented performance measure in the national strategy discussion?,"It is a measure of the real result of an initiative, such as the number or dollar value of ransomware incidents disrupted.",GAO-24-106916,PDF p. 2,1.0
EQ020,What is a CFO Act agency in the incident-response report?,It refers to a civilian agency covered by the Chief Financial Officers Act of 1990; the report examined 23 such agencies.,GAO-24-105658,PDF p. 2,1.0
EQ021,What is a critical-infrastructure operational technology system?,It is a system that interacts with the physical environment to support critical-infrastructure operations.,GAO-24-107231,PDF p. 4,2.0
EQ022,What does supply chain risk management mean in the CrowdStrike outage context?,"It concerns managing risks introduced through products, software, and other suppliers that support an organization's systems.",GAO-24-107733,PDF p. 1,3.0
EQ023,What is the Wall of Receipts?,"It is DOGE's web page for posting estimated savings from terminated contracts, grants, and leases.",GAO-26-108615,PDF p. 2,1.0
EQ024,What is the Main Street Lending Program intended to serve?,Its five facilities targeted small and midsize businesses and nonprofits.,GAO-26-108011,PDF p. 1,1.0
EQ025,What does GAO mean by a comprehensive cybersecurity strategy?,"It is a strategy and implementation approach that addresses desirable characteristics, including measurable outcomes and resources and costs.",GAO-24-106916,PDF p. 2,1.0
EQ026,What is the policy expectation for using CISA's playbook in incident response?,Agencies are to use CISA's playbook to plan and conduct cybersecurity vulnerability and incident-response activities.,GAO-24-105658,PDF p. 2,1.0
EQ027,What is the policy concern with agencies' event logging implementation?,Agencies had not met the Executive Order 14028 event-logging requirements as of August 2023.,GAO-24-105658,PDF p. 2,1.0
EQ028,What is GAO's recommendation for State Department contingency plans affecting national security?,The State Department should annually test contingency plans for systems with significant national-security impact.,GAO-24-107733,PDF p. 2,
EQ029,What policy role does the National Infrastructure Protection Plan assign for K-12 cybersecurity?,"It establishes roles and responsibilities for protecting critical infrastructure, including the Education Subsector.",GAO-23-105480,PDF p. 2,1.0
EQ030,What policy concern did GAO identify about transparency of DOGE contract savings?,DOGE was not transparent about its calculation methodologies and did not use its stated method for most reported terminated-contract savings.,GAO-26-108615,PDF p. 2,1.0
EQ031,What are agencies expected to improve in risk-based information security programs?,"They need stronger threat identification, secure configuration, timely patching or replacement of unsupported software, and comprehensive testing and evaluation.",GAO-16-885T,PDF p. 2,1.0
