ID,Candidate_Optimal_K,Complexity,Primary_Category,Secondary_Category,Answerable,query,query_length,word_count,unique_word_count,average_word_length,entity_count,question_count,question_mark_indicator,number_indicator,uppercase_token_count,starts_with_what,starts_with_why,starts_with_how,starts_with_when,starts_with_where,starts_with_who,starts_with_which,intent,complexity,is_comparison,is_procedural,is_policy,is_summary,is_definition,is_multi_hop,requires_multiple_sources,expected_evidence_breadth,candidate_k_band,available_k,best_k,quality_range,non_decreasing,candidate_k
EQ001,1,Low,Factual,,Yes,What three types of support do federal agencies rely on for cybersecurity incident response?,92,14,14,5.571428571428571,1,1,True,False,0,True,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K1-3,10,2,0.021896143651970124,False,1
EQ002,1,Low,Factual,,Yes,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,96,15,15,5.4,4,1,True,False,2,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,False,True,high,K1-3,10,9,0.07355313080284787,False,1
EQ003,4,Low,Factual,,Yes,When was CISA's incident-response playbook issued?,50,8,8,5.25,2,1,True,False,1,False,False,False,True,False,False,False,general,low,False,False,False,False,False,False,False,low,K4-6,9,4,0.4485651038196072,False,4
EQ004,9,Low,Factual,,Yes,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,107,16,16,5.6875,2,1,True,False,2,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K7-10,10,10,0.3961563914943388,True,9
EQ005,9,Low,Factual,,Yes,How many desirable strategy characteristics were fully addressed by the National Cybersecurity Strategy and implementation plan?,128,16,15,7.0,4,1,True,False,0,False,False,True,False,False,False,False,procedural,medium,False,True,False,False,False,False,True,high,K7-10,10,9,0.28157307423315436,True,9
EQ006,5,Low,Factual,,Yes,By about what percentage did cyber incidents affecting federal agencies grow from fiscal year 2006 to 2015?,107,17,17,5.294117647058823,0,1,True,True,0,False,False,False,False,False,False,False,general,low,False,False,False,False,False,False,False,low,K4-6,10,5,0.508989991253106,False,5
EQ007,1,Low,Factual,,Yes,How many recommendations did GAO make to address NIH security deficiencies?,75,11,11,5.818181818181818,3,1,True,False,2,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,True,high,K1-3,10,1,0.11259935004592003,False,1
EQ008,1,Low,Factual,,Yes,How long did officials say K-12 learning loss after a cyberattack could last?,77,14,14,4.5,2,1,True,True,0,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,10,3,0.04715123782959085,False,1
EQ009,2,Medium,Factual,,Yes,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,78,13,13,5.0,2,1,True,True,1,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K1-3,8,2,0.22400162161431292,False,2
EQ010,4,Medium,Factual,,Yes,How many actions are described as essential within GAO's four cybersecurity challenges?,87,13,13,5.6923076923076925,2,1,True,False,1,False,False,True,False,False,False,False,procedural,low,False,True,False,False,False,False,False,low,K4-6,10,7,0.3075208223762696,False,4
