K,Questions,Records,Mean_Evidence_Coverage,Mean_Answer_Similarity,Mean_Quality_Score,Mean_Prompt_Tokens,Mean_Generated_Tokens,Mean_Total_Tokens,Mean_Latency,Mean_Num_Chunks
1,100,100,0.3745243297779978,0.1536477680298713,0.28617370507874723,539.74,77.56,617.3,8.222427222049962,1.0
2,100,100,0.5231647208701321,0.17993314291699455,0.3858720896888771,983.02,95.0,1078.02,10.498438335239971,2.0
3,100,100,0.6012825025608542,0.1865341908701622,0.4353831778845775,1423.71,104.91,1528.62,12.231166393330065,3.0
4,100,100,0.6404007427937971,0.19078793166684618,0.4605556183430167,1879.51,104.45,1983.96,13.455225155780024,4.0
5,100,100,0.6691548424523084,0.19490576839924054,0.4794552128310813,2314.22,114.21,2428.43,16.15825571780998,5.0
6,100,100,0.6991676844285373,0.19429745685703184,0.49721959339993504,2723.97,114.73,2838.7,18.203058734029916,6.0
7,100,100,0.7196882409124804,0.1957263456651573,0.5101034828135511,3172.95,119.39,3292.34,21.263970554370015,7.0
8,98,98,0.7372806025461367,0.19534288077668904,0.5205055138383576,3637.714285714286,120.59183673469387,3758.3061224489797,24.21567002354079,8.0
9,90,90,0.7588646752931987,0.19881310525790777,0.5348440472790823,3996.3,123.61111111111111,4119.9111111111115,26.98898901983333,9.0
10,71,71,0.7855658412849351,0.20878008457879915,0.5548515386024807,4246.211267605634,124.4225352112676,4370.633802816901,28.91570694697171,10.0
