ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Reference_Answer,Source_Document,Source_Page,Question_Rationale
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,None,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,Concrete fact stated in the incident-response report.
EQ002,How many civilian CFO Act agencies were covered in GAO's incident-response preparedness finding?,Factual,None,Low,Yes,The report covered 23 civilian CFO Act agencies.,GAO-24-105658,PDF p. 2,Concrete count from the report highlights.
EQ003,When was CISA's incident-response playbook issued?,Factual,None,Low,Yes,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,Single date supported by the report.
EQ004,How many of the selected nonfederal entities cited positive experiences with CISA OT products and services?,Factual,None,Low,Yes,Twelve of 13 selected nonfederal entities cited positive experiences.,GAO-24-106576,PDF p. 2,Specific count from the OT report.
EQ005,How many desirable strategy characteristics were fully addressed by the National Cybersecurity Strategy and implementation plan?,Factual,None,Low,Yes,They fully addressed four of six desirable characteristics.,GAO-24-106916,PDF p. 2,Specific finding in the strategy report.
EQ006,By about what percentage did cyber incidents affecting federal agencies grow from fiscal year 2006 to 2015?,Factual,None,Low,Yes,"They grew by about 1,300 percent.",GAO-16-885T,PDF p. 2,Specific reported percentage.
EQ007,How many recommendations did GAO make to address NIH security deficiencies?,Factual,None,Low,Yes,GAO made 219 recommendations: 66 for the security program and 153 for system controls.,GAO-22-104467,PDF p. 1,Specific recommendation total and breakdown.
EQ008,How long did officials say K-12 learning loss after a cyberattack could last?,Factual,None,Low,Yes,Reported loss of learning ranged from 3 days to 3 weeks.,GAO-23-105480,PDF p. 2,Specific range reported in the highlights.
EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,Factual,None,Medium,Yes,GAO identified four major cybersecurity challenges.,GAO-24-107231,PDF p. 2,Requires locating the enumerated finding.
EQ010,How many actions are described as essential within GAO's four cybersecurity challenges?,Factual,None,Medium,Yes,There are 10 essential actions within the four challenges.,GAO-24-107231,PDF p. 2,Requires interpreting the high-risk overview.
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,Factual,None,Medium,Yes,GAO reported over $67.5 billion in financial benefits.,GAO-25-108440,PDF p. 2,Specific performance result.
EQ012,How many Treasury auctions were held in fiscal year 2025?,Factual,None,Medium,Yes,"Treasury held 444 auctions of bills, notes, and bonds.",GAO-26-107529,PDF p. 2,Specific debt-management statistic.
EQ013,How much did Treasury borrow for government operations in fiscal year 2025?,Factual,None,Medium,Yes,Treasury borrowed $1.9 trillion for government operations.,GAO-26-107529,PDF p. 2,Specific borrowing amount.
EQ014,How far behind schedule was the Navy's modernization of the three Zumwalt-class destroyers?,Factual,None,Medium,Yes,The effort was 24 months behind schedule.,GAO-26-107974,PDF p. 2,Specific schedule result.
EQ015,What percentage of Main Street Program loans had been fully repaid as of January 2026?,Factual,None,High,Yes,"Seventy percent, or 1,277 of 1,830 loans, had been fully repaid.",GAO-26-108011,PDF p. 1,"Combines the percentage, loan count, and date."
EQ016,What does operational technology mean in the cybersecurity reports?,Definition,None,Low,Yes,Operational technology consists of systems and devices that control physical distribution or production processes.,GAO-24-106576,PDF p. 2,Definition is directly provided with examples.
EQ017,What is endpoint detection and response in the context of the incident-response report?,Definition,None,Low,Yes,It is a tool category that agencies use to support cybersecurity incident response.,GAO-24-105658,PDF p. 2,Explains the term using the report's stated role.
EQ018,What does cyber resiliency mean in the CrowdStrike outage snapshot?,Definition,None,Low,Yes,"It is the ability to detect, mitigate, and recover from a service disruption while preserving access to vital information.",GAO-24-107733,PDF p. 2,Definition stated in the snapshot.
EQ019,What is meant by an outcome-oriented performance measure in the national strategy discussion?,Definition,None,Low,Yes,"It is a measure of the real result of an initiative, such as the number or dollar value of ransomware incidents disrupted.",GAO-24-106916,PDF p. 2,Explanation is grounded in the report's example.
EQ020,What is a CFO Act agency in the incident-response report?,Definition,None,Low,Yes,It refers to a civilian agency covered by the Chief Financial Officers Act of 1990; the report examined 23 such agencies.,GAO-24-105658,PDF p. 2,Defines the report's agency grouping.
EQ021,What is a critical-infrastructure operational technology system?,Definition,None,Low,Yes,It is a system that interacts with the physical environment to support critical-infrastructure operations.,GAO-24-107231,PDF p. 4,Definition grounded in the high-risk report.
EQ022,What does supply chain risk management mean in the CrowdStrike outage context?,Definition,None,Low,Yes,"It concerns managing risks introduced through products, software, and other suppliers that support an organization's systems.",GAO-24-107733,PDF p. 1,Concept is explained through the CrowdStrike and SolarWinds examples.
