K,Questions,Evidence_Coverage,Answer_Similarity,Quality_Score,Prompt_Tokens,Generated_Tokens,Total_Tokens,Retrieval_Time_Seconds,Generation_Time_Seconds,Total_Latency_Seconds,Num_Retrieved_Chunks,Quality_Improvement,Evidence_Improvement,Answer_Similarity_Improvement,Quality_per_1000_Tokens
1,100,0.3745243297779978,0.15364776802987123,0.2861737050787472,539.74,77.56,617.3,0.11891493027998871,8.103512291769974,8.222427222049962,1.0,,,,0.46358934890449893
2,100,0.5231647208701321,0.17993314291699455,0.3858720896888771,983.02,95.0,1078.02,0.11891493027998871,10.379523404959983,10.498438335239971,2.0,0.09969838461012992,0.14864039109213428,0.02628537488712332,0.35794520480962977
3,100,0.6012825025608542,0.18653419087016218,0.4353831778845775,1423.71,104.91,1528.62,0.11891493027998871,12.112251463050077,12.231166393330065,3.0,0.04951108819570038,0.07811778169072214,0.006601047953167627,0.2848210659840755
4,100,0.6404007427937971,0.19078793166684616,0.4605556183430167,1879.51,104.45,1983.96,0.11891493027998871,13.336310225500036,13.455225155780024,4.0,0.02517244045843925,0.03911824023294286,0.004253740796683975,0.2321395685109663
5,100,0.6691548424523084,0.19490576839924048,0.4794552128310813,2314.22,114.21,2428.43,0.11891493027998871,16.03934078752999,16.15825571780998,5.0,0.018899594488064553,0.02875409965851128,0.0041178367323943255,0.19743423233574012
6,100,0.6991676844285373,0.19429745685703181,0.49721959339993504,2723.97,114.73,2838.7,0.11891493027998871,18.084143803749928,18.203058734029916,6.0,0.017764380568853766,0.030012841976228888,-0.0006083115422086671,0.17515749934827035
7,100,0.7196882409124804,0.19572634566515723,0.5101034828135511,3172.95,119.39,3292.34,0.11891493027998871,21.145055624090027,21.263970554370015,7.0,0.012883889413616068,0.02052055648394313,0.001428888808125417,0.1549364533473308
8,98,0.7372806025461367,0.19534288077668902,0.5205055138383576,3637.714285714286,120.59183673469387,3758.3061224489797,0.12087343896939028,24.094796584571398,24.21567002354079,8.0,0.010402031024806524,0.017592361633656295,-0.0003834648884682157,0.1384947092865301
9,90,0.7588646752931987,0.19881310525790774,0.5348440472790823,3996.3,123.61111111111111,4119.9111111111115,0.129926693855537,26.859062325977792,26.98898901983333,9.0,0.014338533440724666,0.021584072747061978,0.0034702244812187255,0.1298193171781414
10,71,0.7855658412849351,0.20878008457879912,0.5548515386024807,4246.211267605634,124.4225352112676,4370.633802816901,0.15307742553515294,28.76262952143655,28.915706946971703,10.0,0.020007491323398408,0.026701165991736442,0.009966979320891384,0.1269499032943175
