ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Reference_Answer,Source_Document,Source_Page,K,Num_Retrieved_Chunks,Generated_Answer,Prompt_Tokens,Generated_Tokens,Total_Tokens,Retrieval_Time_Seconds,Generation_Time_Seconds,Model,Timestamp,Answer_Empty,Generation_Failed,Generation_Succeeded,Potentially_Truncated,Answer_Character_Length,Parsed_Retrieved_Source_Count,Retrieval_Count_Matches_K,Minimum_Retrieval_Distance,Maximum_Retrieval_Distance
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,1,1,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",403,80,483,0.0167842410000957,11.25502700800007,Qwen/Qwen3-8B,2026-08-28 09:11:52,False,False,True,False,425,1,True,0.5487040281295776,0.5487040281295776
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,2,2,"Federal agencies rely on three types of support for cybersecurity incident response: tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third-party firms; and resources such as skilled staff and funding.",941,79,1020,0.0167842410000957,8.876050194999607,Qwen/Qwen3-8B,2026-08-28 09:12:01,False,False,True,False,418,2,True,0.5487040281295776,0.5511332154273987
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,3,3,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1137,77,1214,0.0167842410000957,9.179978415999813,Qwen/Qwen3-8B,2026-08-28 09:12:10,False,False,True,False,410,3,True,0.5487040281295776,0.5619977712631226
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,4,4,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third-party firms; and resources such as skilled staff and funding.",1679,77,1756,0.0167842410000957,10.03145023900015,Qwen/Qwen3-8B,2026-08-28 09:12:20,False,False,True,False,410,4,True,0.5487040281295776,0.5919196009635925
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,5,5,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1910,77,1987,0.0167842410000957,10.06655385699969,Qwen/Qwen3-8B,2026-08-28 09:12:30,False,False,True,False,410,5,True,0.5487040281295776,0.5973328948020935
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,6,6,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third-party firms; and resources such as skilled staff and funding.",2158,77,2235,0.0167842410000957,10.939211044999864,Qwen/Qwen3-8B,2026-08-28 09:12:41,False,False,True,False,410,6,True,0.5487040281295776,0.611474335193634
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,7,7,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",2721,77,2798,0.0167842410000957,13.362061011999684,Qwen/Qwen3-8B,2026-08-28 09:12:54,False,False,True,False,410,7,True,0.5487040281295776,0.614280104637146
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,8,8,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",3269,80,3349,0.0167842410000957,16.583840899999814,Qwen/Qwen3-8B,2026-08-28 09:13:11,False,False,True,False,425,8,True,0.5487040281295776,0.6292539238929749
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,9,9,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",3805,80,3885,0.0167842410000957,19.448817627000157,Qwen/Qwen3-8B,2026-08-28 09:13:31,False,False,True,False,425,9,True,0.5487040281295776,0.6342428922653198
EQ001,What three types of support do federal agencies rely on for cybersecurity incident response?,Factual,,Low,Yes,"They rely on tools, services, and resources such as skilled staff and funding.",GAO-24-105658,PDF p. 2,10,10,"The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",4377,80,4457,0.0167842410000957,22.870651032000296,Qwen/Qwen3-8B,2026-08-28 09:13:53,False,False,True,False,425,10,True,0.5487040281295776,0.6343860030174255
