id,question,primary_category,complexity,answerable,reference_answer,source_document,source_page,question_rationale
EQ001,How many OT cybersecurity products and services did CISA provide to critical infrastructure owners and operators between October 2018 and October 2023?,Factual,Low,Yes,CISA provided 13 OT cybersecurity products and services during that period.,Cybersecurity Improvements Needed in Addressing Risks to Operational Technology,19,Asks for a single explicit quantity stated in the report.
EQ002,What is operational technology (OT) according to the NIST definition described by GAO?,Definition,Low,Yes,"OT is a broad range of programmable systems and devices that interact with the physical environment, including systems that monitor or control devices, processes, and events.",Cybersecurity Improvements Needed in Addressing Risks to Operational Technology,8,Asks for a direct definition of a core term.
EQ003,What information-security responsibilities does the head of a federal agency have under the FISMA framework described by GAO?,Policy,Medium,Yes,"The head of each federal agency has overall responsibility for providing appropriate information-security protections for the agency's information and systems, including those operated by others on the agency's behalf; the head must also ensure senior officials provide security for systems under their control, while the CIO is delegated authority to ensure compliance.",Federal Information Security: Actions Needed to Address Challenges,6,Requires identifying and combining several governance responsibilities from one section.
EQ004,What activities are required as part of an agency-wide information security program under the FISMA framework?,Procedural,Medium,Yes,"The program should include assessing risks; developing and implementing risk-based policies and procedures; providing awareness and specialized training; testing and evaluating security controls; remedying known weaknesses; and detecting, reporting, and responding to security incidents.",Federal Information Security: Actions Needed to Address Challenges,6,Asks for a multi-step process rather than a single fact.
EQ005,How do CISA's OT cybersecurity products differ from its OT cybersecurity services in terms of purpose?,Comparison,High,Yes,"CISA provided four OT products: two for sharing cyber-threat information and best practices, and two tools for evaluating OT security practices and analyzing network traffic and logs. It provided nine OT services: four focused on identifying and mitigating vulnerabilities, three on training/exercises/preparation, and two on identifying, analyzing, or responding to malicious activity.",Cybersecurity Improvements Needed in Addressing Risks to Operational Technology,19-20,Requires comparing two categories and synthesizing their different purposes.
EQ006,How did GAO assess the March 2023 National Cybersecurity Strategy and July 2023 Implementation Plan against the six desirable characteristics of a national strategy?,Summary,High,Yes,"GAO found that the two documents fully addressed four characteristics—purpose, scope, and methodology; problem definition and risk assessment; integration and implementation; and organizational roles, responsibilities, and coordination—and partially addressed two: goals, subordinate objectives, activities, and performance measures; and resources, investments, and risk management.",National Cybersecurity Strategy: National Cyber Director Needs to Take Additional Actions to Implement an Effective Strategy,"14, 19-21",Requires a structured summary of findings across multiple characteristics and sections.
EQ007,How do the workforce challenges identified for CISA's OT cybersecurity mission compare with the broader federal cybersecurity workforce challenges identified by GAO?,Multi-document,High,Yes,"Both reports identify shortages of appropriately skilled cybersecurity personnel as a significant constraint. The CISA OT report focuses specifically on insufficient OT expertise and the need to define OT competencies, assess staffing gaps, and develop strategies to fill them; the federal information-security testimony describes broader difficulties recruiting, retaining, and training cybersecurity personnel and developing agency workforce plans.",Cybersecurity Improvements Needed in Addressing Risks to Operational Technology; Federal Information Security: Actions Needed to Address Challenges,27-28; 12-13,Requires integrating evidence from two reports and comparing a specialized OT workforce problem with a broader federal cybersecurity workforce problem.
EQ008,"According to GAO's 2016 testimony, what was the increase in the number of information-security incidents reported by federal agencies from fiscal year 2006 to fiscal year 2015?",Factual,Medium,Yes,"Reported incidents increased from 5,503 in fiscal year 2006 to 77,183 in fiscal year 2015, an increase of about 1,303 percent.",Federal Information Security: Actions Needed to Address Challenges,3,Requires extracting and relating two values and the reported percentage increase.
EQ009,"What did GAO identify as the main policy and planning actions CISA needed to take to address weaknesses in its OT cybersecurity products, services, and interagency collaboration?",Policy,High,Yes,"GAO recommended that CISA (1) measure customer service for its OT products and services, (2) perform effective OT workforce planning, (3) issue guidance to sector risk management agencies on updating plans for coordination on critical-infrastructure issues, and (4) develop a policy for agreements with sector risk management agencies regarding collaboration.",Cybersecurity Improvements Needed in Addressing Risks to Operational Technology,37 and highlights,Requires synthesizing four recommendations spanning product/service delivery and interagency collaboration.
EQ010,What is the company's annual remote-work allowance for employees in the uploaded knowledge base?,Unanswerable,High,No,"The uploaded knowledge base does not contain a company-specific annual remote-work allowance, so the question cannot be answered from the available documents.",No supporting document,N/A,Intentionally tests whether the system abstains when the requested enterprise-specific policy is absent from the knowledge base.
