ID,Question,Primary_Category,Secondary_Category,Complexity,Answerable,Reference_Answer,Source_Document,Source_Page,K,Prompt_Tokens,Generated_Tokens,Total_Tokens,Retrieval_Time_Seconds,Generation_Time_Seconds,Model,Timestamp
EQ003,When was CISA's incident-response playbook issued?,Factual,,Low,Yes,CISA issued the playbook in November 2021.,GAO-24-105658,PDF p. 2,10,0,0,0,0.0770922010001413,0.0,Qwen/Qwen3-8B,2026-08-28 09:17:46
EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,Factual,,Medium,Yes,GAO identified four major cybersecurity challenges.,GAO-24-107231,PDF p. 2,9,0,0,0,0.0176134309999724,0.0,Qwen/Qwen3-8B,2026-08-28 09:26:16
EQ009,How many cybersecurity challenges did GAO identify in its 2018 high-risk work?,Factual,,Medium,Yes,GAO identified four major cybersecurity challenges.,GAO-24-107231,PDF p. 2,10,0,0,0,0.0176134309999724,0.0,Qwen/Qwen3-8B,2026-08-28 09:26:16
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,Factual,,Medium,Yes,GAO reported over $67.5 billion in financial benefits.,GAO-25-108440,PDF p. 2,8,0,0,0,0.0254592339997543,0.0,Qwen/Qwen3-8B,2026-08-28 09:29:37
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,Factual,,Medium,Yes,GAO reported over $67.5 billion in financial benefits.,GAO-25-108440,PDF p. 2,9,0,0,0,0.0254592339997543,0.0,Qwen/Qwen3-8B,2026-08-28 09:29:38
EQ011,What was GAO's reported financial benefit from its work in fiscal year 2024?,Factual,,Medium,Yes,GAO reported over $67.5 billion in financial benefits.,GAO-25-108440,PDF p. 2,10,0,0,0,0.0254592339997543,0.0,Qwen/Qwen3-8B,2026-08-28 09:29:38
EQ013,How much did Treasury borrow for government operations in fiscal year 2025?,Factual,,Medium,Yes,Treasury borrowed $1.9 trillion for government operations.,GAO-26-107529,PDF p. 2,10,0,0,0,0.0185225310001442,0.0,Qwen/Qwen3-8B,2026-08-28 09:32:25
EQ022,What does supply chain risk management mean in the CrowdStrike outage context?,Definition,,Low,Yes,"It concerns managing risks introduced through products, software, and other suppliers that support an organization's systems.",GAO-24-107733,PDF p. 1,10,0,0,0,0.0175357060006717,0.0,Qwen/Qwen3-8B,2026-08-28 09:55:00
EQ029,What policy role does the National Infrastructure Protection Plan assign for K-12 cybersecurity?,Policy,,Low,Yes,"It establishes roles and responsibilities for protecting critical infrastructure, including the Education Subsector.",GAO-23-105480,PDF p. 2,10,0,0,0,0.0203356020001592,0.0,Qwen/Qwen3-8B,2026-08-28 10:10:53
EQ035,What policy issue did GAO identify with the security of NIH's information systems?,Policy,,Medium,Yes,"NIH had deficiencies across identifying risk, protecting systems, detecting and responding to events, and recovering operations.",GAO-22-104467,PDF p. 1,10,0,0,0,0.0165887370003474,0.0,Qwen/Qwen3-8B,2026-08-28 10:25:29
